0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/plugins/flot-charts/jquery.flot.js HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/plugins/flot-charts/jquery.flot.resize.js HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/plugins/flot-charts/jquery.flot.pie.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/plugins/flot-charts/jquery.flot.categories.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/plugins/flot-charts/jquery.flot.time.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/plugins/jquery-sparkline/jquery.sparkline.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/js/admin.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/js/pages/index.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:39:53 +0530] "GET /Aman/include/js/demo.js HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:40:20 +0530] "GET /Aman/include/stu_sidebar.jsp HTTP/1.1" 200 26715
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:40:20 +0530] "GET /Aman/include/images/user.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/NewFile.jsp HTTP/1.1" 200 43201
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/node-waves/waves.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/dropzone/dropzone.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/jquery-spinner/css/bootstrap-spinner.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/waitme/waitMe.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/animate-css/animate.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/morrisjs/morris.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/nouislider/nouislider.min.css HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/multi-select/css/multi-select.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/jquery-datatable/skin/bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/css/style.css HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/css/themes/all-themes.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/images/user.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:41:52 +0530] "GET /Aman/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 404 1170
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/NewFile.jsp HTTP/1.1" 200 44747
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/node-waves/waves.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/dropzone/dropzone.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/jquery-spinner/css/bootstrap-spinner.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:42:32 +0530] "GET /Aman/plugins/waitme/waitMe.css HTTP/1.1" 404 1054
